"V1","V2","V3","V4"
"Row0",0.0258198889747161,-0.00262412193955566,0,0
"Row1",0.0258198889747161,-0.00173469269464412,0,0
"Row2",0.0258198889747161,-0.00211303465679418,0,0
"Row3",0.0258198889747161,-0.00953950662598452,0,0
"Row4",0.0258198889747161,-0.0074556497967792,0,0
"Row5",0.0258198889747161,0.00543071559938007,0,0
"Row6",0.0258198889747161,-0.000345607741961022,0,0
"Row7",0.0258198889747161,-0.00373723773942217,0,0
"Row8",0.0258198889747161,0.00692621193364281,0,0
"Row9",0.0258198889747161,-0.000969052933047288,0,0
"Row10",0.0258198889747161,-0.00138015029605287,0,0
"Row11",0.0258198889747161,-0.00293485837925941,0,0
"Row12",0.0258198889747161,-0.0116272837682445,0,0
"Row13",0.0258198889747161,-0.00447649690711262,0,0
"Row14",0.0258198889747161,-0.00491972469353568,0,0
"Row15",0.0258198889747161,0.00372249398986469,0,0
"Row16",0.0258198889747161,-0.00672781311050446,0,0
"Row17",0.0258198889747161,-0.00169684970887858,0,0
"Row18",0.0258198889747161,-0.00815992096419975,0,0
"Row19",0.0258198889747161,0.00787933685572516,0,0
"Row20",0.0258198889747161,0.000876826204322124,0,0
"Row21",0.0258198889747161,-0.00299722822909241,0,0
"Row22",0.0258198889747161,0.00234722976756219,0,0
"Row23",0.0258198889747161,0.00722640973682324,0,0
"Row24",0.0258198889747161,-0.00341403563588146,0,0
"Row25",0.0258198889747161,-0.00146888451365723,0,0
"Row26",0.0258198889747161,-0.00979195125057043,0,0
"Row27",0.0258198889747161,-0.00206084796766273,0,0
"Row28",0.0258198889747161,0.00635767417941821,0,0
"Row29",0.0258198889747161,-0.00344780088893813,0,0
"Row30",0.0258198889747161,0.00059541752577435,0,0
"Row31",0.0258198889747161,-0.00428275229261734,0,0
"Row32",0.0258198889747161,0.000211119044187155,0,0
"Row33",0.0258198889747161,-0.0011244772662423,0,0
"Row34",0.0258198889747161,-0.00196180130290157,0,0
"Row35",0.0258198889747161,0.00109549408040076,0,0
"Row36",0.0258198889747161,-0.00349706124269465,0,0
"Row37",0.0258198889747161,0.00166388185081179,0,0
"Row38",0.0258198889747161,0.00027177150043897,0,0
"Row39",0.0258198889747161,0.000481929997509223,0,0
"Row40",0.0258198889747161,-0.000962874118852298,0,0
"Row41",0.0258198889747161,0.00531855487890787,0,0
"Row42",0.0258198889747161,-0.00778068545134891,0,0
"Row43",0.0258198889747161,-0.000258367031367239,0,0
"Row44",0.0258198889747161,0.00629485782097168,0,0
"Row45",0.0258198889747161,-0.0029919534762776,0,0
"Row46",0.0258198889747161,-0.00880272575526737,0,0
"Row47",0.0258198889747161,-0.001346962528194,0,0
"Row48",0.0258198889747161,0.000654423389927671,0,0
"Row49",0.0258198889747161,0.00531726668789801,0,0
"Row50",0.0258198889747161,0.00138141607687068,0,0
"Row51",0.0258198889747161,0.00949588703326162,0,0
"Row52",0.0258198889747161,-0.000335233995473773,0,0
"Row53",0.0258198889747161,0.00559058213719262,0,0
"Row54",0.0258198889747161,0.00304005775844133,0,0
"Row55",0.0258198889747161,-0.0122123017694892,0,0
"Row56",0.0258198889747161,0.00441083082132433,0,0
"Row57",0.0258198889747161,0.00166548961568364,0,0
"Row58",0.0258198889747161,-0.00462791321144259,0,0
"Row59",0.0258198889747161,-0.000768301930077969,0,0
"Row60",0.0258198889747161,-0.00436476862438059,0,0
"Row61",0.0258198889747161,-0.00425156524399469,0,0
"Row62",0.0258198889747161,-0.0047004557519338,0,0
"Row63",0.0258198889747161,-0.00133366180335745,0,0
"Row64",0.0258198889747161,0.00126769517275674,0,0
"Row65",0.0258198889747161,-0.0027208190882748,0,0
"Row66",0.0258198889747161,0.00297138011171261,0,0
"Row67",0.0258198889747161,-0.00730095600749312,0,0
"Row68",0.0258198889747161,0.00533840974987638,0,0
"Row69",0.0258198889747161,0.000854230845489486,0,0
"Row70",0.0258198889747161,-0.00680202433755697,0,0
"Row71",0.0258198889747161,0.00772088430612782,0,0
"Row72",0.0258198889747161,-0.00133350074467691,0,0
"Row73",0.0258198889747161,0.00530954002399438,0,0
"Row74",0.0258198889747161,-0.00619246250081968,0,0
"Row75",0.0258198889747161,-0.00829973106230817,0,0
"Row76",0.0258198889747161,-0.0149200568843039,0,0
"Row77",0.0258198889747161,-0.000915433894701268,0,0
"Row78",0.0258198889747161,-0.00415384561653703,0,0
"Row79",0.0258198889747161,-0.00168515500072375,0,0
"Row80",0.0258198889747161,0.00265803596687809,0,0
"Row81",0.0258198889747161,-0.00355055849454717,0,0
"Row82",0.0258198889747161,-0.0108317102258899,0,0
"Row83",0.0258198889747161,0.0119694877046373,0,0
"Row84",0.0258198889747161,0.000247335701205658,0,0
"Row85",0.0258198889747161,0.00197019563059494,0,0
"Row86",0.0258198889747161,-0.00422524583714145,0,0
"Row87",0.0258198889747161,-0.00492024597755554,0,0
"Row88",0.0258198889747161,0.00374616004909489,0,0
"Row89",0.0258198889747161,-0.00519386027204361,0,0
"Row90",0.0258198889747161,-0.00441884877433221,0,0
"Row91",0.0258198889747161,-0.00215726475726672,0,0
"Row92",0.0258198889747161,-0.00556482534202687,0,0
"Row93",0.0258198889747161,0.00709443897953127,0,0
"Row94",0.0258198889747161,0.00185742003212811,0,0
"Row95",0.0258198889747161,-0.00129758866416031,0,0
"Row96",0.0258198889747161,-0.00409524994546017,0,0
"Row97",0.0258198889747161,-0.00493510835898801,0,0
"Row98",0.0258198889747161,0.0107440930471271,0,0
"Row99",0.0258198889747161,0.00118373947991319,0,0
"Row100",0.0258198889747161,0.0196180447837658,0,0
"Row101",0.0258198889747161,0.0173085413094278,0,0
"Row102",0.0258198889747161,0.0199105106046166,0,0
"Row103",0.0258198889747161,0.0178054370931814,0,0
"Row104",0.0258198889747161,0.018567392696381,0,0
"Row105",0.0258198889747161,0.0144663095562019,0,0
"Row106",0.0258198889747161,0.00881408894031116,0,0
"Row107",0.0258198889747161,0.0153768751558229,0,0
"Row108",0.0258198889747161,0.0190843208002025,0,0
"Row109",0.0258198889747161,0.020457705930859,0,0
"Row110",0.0258198889747161,0.0166464667969006,0,0
"Row111",0.0258198889747161,0.0204035016232302,0,0
"Row112",0.0258198889747161,0.01671266096134,0,0
"Row113",0.0258198889747161,0.01251920302442,0,0
"Row114",0.0258198889747161,0.0164244199649823,0,0
"Row115",0.0258198889747161,0.0234561267633262,0,0
"Row116",0.0258198889747161,0.0113658920904601,0,0
"Row117",0.0258198889747161,0.0221987396396921,0,0
"Row118",0.0258198889747161,0.0215994880207495,0,0
"Row119",0.0258198889747161,0.0227474216494337,0,0
"Row120",0.0258198889747161,0.0200517827957595,0,0
"Row121",0.0258198889747161,0.0240134258327988,0,0
"Row122",0.0258198889747161,0.0233843018118981,0,0
"Row123",0.0258198889747161,0.0153149695339292,0,0
"Row124",0.0258198889747161,0.0138352703713578,0,0
"Row125",0.0258198889747161,0.0166467997470288,0,0
"Row126",0.0258198889747161,0.0128774970330395,0,0
"Row127",0.0258198889747161,0.013805696667256,0,0
"Row128",0.0258198889747161,0.0116104303211828,0,0
"Row129",0.0258198889747161,0.0194698820514841,0,0
