"V1","V2","V3","V4","V5","V6"
"G1",0.0427546679871942,0.000288268236254662,0.0414521541509615,-0.036559163326679,0.00796598440909125,-0.0142197191580671
"G2",0.0438206411479511,0.0839037268605068,0.0351665739482011,-0.0428721088196511,0.0358174419233434,-0.0155652151087584
"G3",0.0503544659382872,-0.0422037168026176,0.035707625458983,-0.0393711406185981,0.00309686243269462,0.00305304214747122
"G4",0.0406462683084565,0.0702710776056166,0.0415534191221175,-0.032784981394337,0.00277848413566718,-0.0343714582537054
"G5",0.0334109402416719,0.0100957536153609,0.0445114820014223,-0.0560909370143356,-0.0160768627320223,0.0375671281477873
"G6",0.0354434127147373,-0.0607766534929059,0.0137909479632766,-0.00257232691660053,0.0740443377989496,-0.0634325088005566
"G7",0.0398229177392063,-0.0491403798699587,0.0414221051627821,-0.0301449066985872,0.0497252589842033,0.0158158371550706
"G8",0.041428567287216,0.0468249933445971,0.0494839290248676,-0.0392759996599907,-0.00498790618523683,-0.0302760076254369
"G9",0.0449759035532675,-0.0468416943475659,0.0324691425609195,-0.0348225002613913,0.0541866086946644,-0.0589683435406256
"G10",0.0460335289969789,-0.0530775089001891,0.0308570937341619,-0.0318520791037996,0.0305683904187634,-0.0232670276738565
"G11",0.0509090179317692,0.0587378356506028,0.057108764621745,-0.05054757083649,0.0426642181616741,-0.0411465134417517
"G12",0.051475868805313,0.0773843335459685,0.047799595736879,-0.0462914354420634,0.0242778131771657,-0.0275478792430496
"G13",0.0414321353932063,-0.0118755144270283,0.0463877019953477,-0.0658018663769583,-0.0347445753177352,0.0496126189701234
"G14",0.0558771180118655,0.0554206908610079,0.0605737340926516,-0.056081615757494,0.0458407849766043,-0.0231036298514398
"G15",0.0481110914693387,0.0413443986956015,0.0649451691434235,-0.0637455303809697,-0.0116548814149781,0.0547188570632244
"G16",0.0453441733422855,-0.0519096846685484,0.0458657142572832,-0.0438431149631155,0.0137101223499314,-0.00337309108175993
"G17",0.0361919636670869,-0.0514630572520143,0.034895453263304,-0.0200324245948933,0.0144414950131384,-0.0203628760233855
"G18",0.05709250470499,0.0160358693270143,0.0502187842342346,-0.0464710836504005,0.0578165847397978,-0.0441679041727633
"G19",0.0381112112917684,-0.00400850198301706,0.0438829519123363,-0.0576521627014266,-0.0597679969890933,0.0576290841351863
"G20",0.0537641417772599,0.0600362333674662,0.0524541315017606,-0.0581204324003853,0.0537180623815409,-0.00769889503838751
"G21",0.0510218373453177,0.0175004223558001,0.0511897815213003,-0.0680871670998241,-0.0322002898793016,0.0595446621422289
"G22",0.0350306295392574,-0.0242501716884555,0.0367257231027624,-0.0433228032639811,0.0308032497504147,0.0164835647929767
"G23",0.0598675650464362,0.00690485038278075,0.0732912227170986,-0.0772095619708023,0.012006441893377,0.0124486597896012
"G24",0.0279831523878498,-0.0126877051292241,0.0218340107437589,-0.00510947845361488,0.0409206942512608,-0.0791266516041691
"G25",0.0371542598959528,0.0674324465780318,0.0497013202498278,-0.0344254640173973,0.0438072135283017,-0.0411326055453632
"G26",0.0422669948101922,-0.0549940889193161,0.0370786698087948,-0.0491351311989241,-0.0140183798093773,0.00598234204054293
"G27",0.0284239912372149,0.000346752697907988,0.0245904129810258,-0.00239621120103834,0.0314158112535361,-0.0581197175264858
"G28",0.0462784939388534,0.0151998541963314,0.0644151830905586,-0.0549235715873926,-0.0357762385204328,-0.00982377884700012
"G29",0.0329984652440707,0.0429651251477621,0.0425061595953365,-0.032386973131797,0.0506565507565891,-0.0361554717586394
"G30",0.0567218079504699,-0.0187562889635428,0.0545129019031075,-0.0523639421798726,-0.001600151507783,-0.0194824578144665
"G31",0.0406994353258447,-0.00427221611185383,0.0560798166839567,-0.0757657999823844,-0.0568991115504313,0.10052228469921
"G32",0.0343774485211278,0.0608029799920425,0.0352677197649249,-0.0294389085854477,0.0158653108218025,-0.0369015121008178
"G33",0.0569383903959958,0.0506469627812291,0.0604647349823667,-0.0656193906786748,0.0137157147914821,0.00289001813883911
"G34",0.0485662022941449,-0.0571110702737214,0.0288458133524618,-0.0190583801041578,0.0391453153468448,-0.0368848467126538
"G35",0.044706602052392,-0.0618122815955189,0.0308125753421024,-0.0263853534296107,0.0281115714915412,-0.0327185638654738
"G36",0.0511780245646175,0.000830260638156614,0.0551718092276701,-0.0603841410782033,0.0531503986195064,-0.0405777190072873
"G37",0.0422389656901863,-0.0425192653469576,0.0463917962503864,-0.0528350819049346,-0.049421225337743,0.0690284670384285
"G38",0.0459812778857122,0.0454272584901886,0.0485369295929169,-0.0407432713755868,0.0608633479357851,-0.0353341540317746
"G39",0.0280168524369505,-0.0450330717573598,0.013846007183288,-0.00310998237458796,0.0581665573378762,-0.0431411136312151
"G40",0.0502894393688844,-0.0369689343227659,0.034737464791475,-0.0255691336849678,0.0128442707534763,-0.0562039693775718
"G41",0.0575537807937728,-0.0247571984466516,0.0593344782526871,-0.0703683958193604,-0.101199840093905,0.0364847560098676
"G42",0.0575213908939492,-0.00392039334330585,0.0669712968076597,-0.0657177038414113,-0.00368333054405233,0.0436728321433815
"G43",0.0391491010171213,-0.00702440127726158,0.0465638954754736,-0.0393102934482763,-0.0110023112426121,0.0022026100285422
"G44",0.034679666066752,-0.0312204224363774,0.0263331931361277,-0.00959681203005453,0.0799024973278693,-0.102916233856512
"G45",0.0400183385445453,0.0541280419830997,0.0388166940988587,-0.0375494743406345,0.0471324189785704,-0.0459154694094183
"G46",0.0335149194262769,-0.0922175324905841,0.0137127761037986,0.0108152072873301,0.048656144468748,-0.0652387957682361
"G47",0.0301973535740684,-0.0250496916291689,0.0476756844927622,-0.0602655993571846,-0.000732378687762917,0.0592077913982424
"G48",0.0468851171899913,-0.0277471590934758,0.0556941175443458,-0.0534491444197313,-0.0106269011144585,0.0441382323434591
"G49",0.0341069398336895,-0.0323429208951605,0.0345318463197155,-0.0581076053794874,-0.0366942657230509,0.0386285516927981
"G50",0.042763628906505,0.0314404535011385,0.0508402270773332,-0.0485812343198538,-0.0186987312683389,-0.00564387534566149
"G51",0.0490112124278421,0.0442464677638895,0.0617272212326028,-0.0516354925823037,-0.00970643566691653,-0.0366696265847151
"G52",0.0573146341416672,0.0251125007784325,0.0616995806698849,-0.0628110356737193,0.0330093866879032,0.00989884706355821
"G53",0.044128309864621,-0.0524438651220415,0.0321288261502131,-0.0151284527467557,0.0588316348572687,-0.0558660170558372
"G54",0.0392535734023463,0.0525274477785807,0.043978152696322,-0.0387103980245455,0.00932271212514563,-0.0202287822446816
"G55",0.0394372608377798,-0.0590847287873098,0.0298568791751889,-0.0159130111032634,0.0011027988736992,0.0115385203228051
"G56",0.0568741795425023,0.0430324294928764,0.0653922049693486,-0.0748654913890973,0.031223781213791,0.0185419182706192
"G57",0.0529578013075292,0.0500085414972956,0.0562020649167406,-0.0627105207651433,-0.0177220965275378,0.0228650183944452
"G58",0.0557851835433387,-0.0385230882345567,0.0485852485080679,-0.0508054891892056,0.0293772956810131,-0.0230671983474299
"G59",0.0444470900369799,-0.0267360955851374,0.0418995304851146,-0.047365069914659,-0.0232041523570326,-0.0190056082898561
"G60",0.0492281333894737,-0.0218669321833553,0.0325686290567763,-0.0363319429231622,0.0522610907207677,-0.0705073067424027
"G61",0.0491525667224741,0.073688150789551,0.055377340353358,-0.0474072794163172,0.0754896781552688,-0.00923485694637124
"G62",0.0292515809922349,-0.0318383592990229,0.0242359555322034,-0.0142741334798303,0.0699501866813648,-0.0764037431085764
"G63",0.036917647495929,0.0428192466379749,0.0341593197258766,-0.0503632619143062,-0.012393006362411,0.00167299967291894
"G64",0.0460985806719994,-0.00383677101586413,0.0648019590613031,-0.0781895290618674,-0.0824751030845764,0.0707308119454194
"G65",0.0471162325807341,0.0789116231825309,0.04605847273866,-0.0423803732375088,-0.0087919997229814,-0.0346682471388774
"G66",0.0556339417493836,-0.00517295132661658,0.0484431546392613,-0.0472355578444159,0.0712209231327991,-0.0422509286050246
"G67",0.0447672232180578,-0.0504266562570251,0.035883085181162,-0.0210228781492385,0.0299420963098177,-0.0606562540019908
"G68",0.0402533307002122,0.0233046971605636,0.0356054516524009,-0.0157598385406399,0.0438826908035964,-0.0827269395042845
"G69",0.033072032750305,0.0178304062752977,0.0444659117072173,-0.0284023716573275,0.0317951489861947,-0.0670233038728637
"G70",0.0556600259275952,0.0175871599318534,0.0564464300037905,-0.0631397223719331,-0.000344515748686893,-0.0138073519468822
"G71",0.0554448465715419,0.0454051388067154,0.0716954662264054,-0.0697922029942338,-0.00994294784161739,0.0247360759815278
"G72",0.0508299035870409,0.0173340110275103,0.0421836641056773,-0.0523133846069303,-0.0412674053442344,-0.0388956344465433
"G73",0.0271834662306602,-0.0578107118223941,0.0189693335819648,-0.0226324182055627,0.0103916143297831,0.0264586407417936
"G74",0.043438788713012,-0.0675688611264625,0.0398493806512112,-0.0448019958461787,-0.0184651455819938,0.0169649941416769
"G75",0.0452967570813255,0.0279131891721198,0.0457263488530592,-0.0404980835942273,0.0847899052250372,-0.0353859080976429
"G76",0.0561629097971325,0.0447041329016715,0.054601944802249,-0.0500391604038566,0.023451896558684,-0.0301979439355727
"G77",0.0321543118485384,-0.052779896342857,0.0265285979002868,-0.00662421687978966,-0.0105749191772965,-0.0380791259968963
"G78",0.057930061469225,-0.0277720526987942,0.06172775050074,-0.0524808129195939,-0.00133127326573261,0.00286795653671479
"G79",0.0465578098301141,0.00613615504555342,0.0515134503201611,-0.0317749356240497,-0.0198614918460667,-0.0338015231088182
"G80",0.0404990131460907,-0.0767703529754885,0.0265711125511123,-0.0190598436245382,0.0744783467488642,-0.0224706082881543
"G81",0.0535897908782444,0.0367720357029745,0.0585605197092982,-0.0729651596655115,-0.0262119831861857,0.0380400241239381
"G82",0.048099158064073,-0.0708965524069737,0.0343001978456173,-0.0488421709774657,-0.0857549881892323,0.0191284638886445
"G83",0.0377456996853498,0.0112185308947581,0.0288180336213872,-0.0232732160806918,0.0801389158322154,-0.104735138246496
"G84",0.0450532656732869,0.00803837158247387,0.0471521351023328,-0.056157937001326,0.00496027979619889,-0.00185118962815939
"G85",0.046012107214592,-0.0382895568094522,0.0324894446261005,-0.0341562393717615,0.0339934660524845,-0.0433300059957977
"G86",0.0391674866935599,-0.0083251913978225,0.0532630610440338,-0.0353278915650972,0.0145885375835568,-0.0631959798049911
"G87",0.0500233332896125,0.0186372023932277,0.0732361688061805,-0.0710146112464367,9.54146695857848e-05,0.0308576863883528
"G88",0.0478241763226788,0.0914080651327099,0.0380489511439802,-0.0359100694800595,0.058675626848649,-0.00549561762474297
"G89",0.0515415616337085,0.0350659429677305,0.0543930829870687,-0.0427427328107189,0.0273531936506735,-0.0449627004255297
"G90",0.0534981181251062,0.0425516980948869,0.0567381984999394,-0.0294025680133773,-0.0157250235166844,-0.0359675639389105
"G91",0.0511352995415967,-0.0652722254544154,0.0399747558179241,-0.0354532500138284,0.0292504677245855,0.00146076864911203
"G92",0.0407810415705838,-0.0139357330226999,0.046269336669016,-0.0681547913364582,-0.0489465807305749,0.0498828370619905
"G93",0.0341159600598039,-0.0432395441347341,0.020895764796245,-0.00906486476960387,0.0455745792740253,-0.0632000448334548
"G94",0.0452175260996462,-0.0664397466637676,0.0249495156172718,-0.0200236092640515,0.0849061873475052,-0.0779940517199797
"G95",0.0549912562439721,-0.0354133087862074,0.0540663647596637,-0.0523066380210564,0.0485021186593566,-0.00857298157338035
"G96",0.0439620739051861,0.0186550837533591,0.0476696287317502,-0.0314108383772949,0.0443985913231214,-0.0532657207920108
"G97",0.0437050054640671,0.0555046989980313,0.0510002651913177,-0.0531051809717686,0.0459372926487146,0.0133988398667429
"G98",0.0423722010822315,-0.0441784844194533,0.036703148685094,-0.0502991810407605,-0.0274397121019377,0.0184661513352513
"G99",0.0539329980413005,-0.0623550774256919,0.0362218524087825,-0.0379325924824411,-0.00671888381508875,-0.0341152763639101
"G100",0.0422973490338351,-0.0874740569078737,0.0305020954892207,-0.0163594472647949,0.0555149463275674,-0.0431887352686751
"G101",0.0556224414323925,-0.0517249974507321,0.041959052725543,-0.0409553115956472,-0.0137914587993217,-0.0181226980445257
"G102",0.0434150302035739,-0.0843056445784672,0.0100331523320719,-0.00749759304212543,0.0716306510016632,-0.0616135490626846
"G103",0.0457887451713917,0.040975243048366,0.0557414318325713,-0.0624185010639565,0.0669975606796516,0.0311580507635285
"G104",0.0332107397018171,0.0820463552072442,0.0311289491380096,-0.0190467188564409,0.016851367096414,-0.0172293300670515
"G105",0.0473972166713556,-0.00340655923812151,0.0566767609277189,-0.0711454514780316,-0.0178143823334267,0.0668226644038103
"G106",0.0495214031501911,-0.012090431825265,0.0442818709442729,-0.0374659095954426,0.0275226158765214,-0.0538397775746829
"G107",0.0564835628780972,0.009782160157096,0.0612015981228099,-0.0665932455298603,0.00427880881708841,-0.000941401273295443
"G108",0.0278698477040828,-0.0721843969048723,0.00863292835775042,0.00173639056733913,0.0906994875976201,-0.0217933834366156
"G109",0.048346568717462,-0.0769446266121424,0.0279813081520188,-0.0445076218573926,-0.00588804895732152,0.0294854998349935
"G110",0.057308517426783,-0.00480554884615882,0.0660857567535167,-0.0628411262124029,-0.00230287276808075,0.0336672010938333
"G111",0.0231548644994841,-0.0503985011658884,0.0134746505489769,-0.00659313424753911,0.0416593384142581,-0.0552462163166016
"G112",0.0293868633897931,-0.0100819585115913,0.0302789869068683,-0.0116905675548066,0.0546930758678462,-0.0780046060762841
"G113",0.0348047114994963,-0.00440611144213907,0.0301287701719538,-0.0211059975010678,0.095963220525221,-0.0802798102061977
"G114",0.0517415626580409,-0.00965684300541377,0.0643414089517564,-0.0788396715257997,-0.0501229742590281,0.0637913837621145
"G115",0.0495392054932568,-0.0031001269420215,0.0484536617089247,-0.0464321441395511,0.0259076187811898,-0.00500419078770315
"G116",0.0568454191228728,-0.02575163131766,0.0507691137639578,-0.0473455796779984,0.0107597315124247,-0.0271278064109052
"G117",0.0507274945988981,-0.0753724844380444,0.0420259154795407,-0.0357794188020136,0.0132382212661259,-0.0146785888164045
"G118",0.0578261295168563,0.0400777602430319,0.056109036515592,-0.0488024029572696,-0.0618381200005568,0.00326555328382959
"G119",0.0396478276920775,-0.0763604836972574,0.0190255533588878,-0.0191950270723293,0.0192206503876377,-0.00534526068942547
"G120",0.0426514791459814,-0.0621405715243986,0.0362971314321463,-0.040272753024042,0.0323503877652186,0.0395870354586376
"G121",0.0411123575861651,0.0469418348884406,0.0477143511491768,-0.0397378986968101,0.0342708324157983,-0.0182561459370488
"G122",0.0501291691318358,0.0145598150334571,0.0719750754123856,-0.0685189249911443,-0.0955681618496459,0.0308054866322624
"G123",0.0417755031053518,-0.00938010617847822,0.0383583621172845,-0.0237754858228625,0.0730992001337476,-0.0755554897393126
"G124",0.0481593813098204,-0.0482028863543229,0.0335550769705317,-0.016546141453038,0.0385416964078464,-0.0750262508435148
