"V1","V2","V3","V4","V5","V6","V7"
"Raw0",0.0151825768291502,0.112267962899211,-0.00741810581732936,0.0141223636042526,0.0182604695632112,0.0155604576877103,0.0188886553091301
"Raw1",-0.0150197926945496,-0.0597837326330471,0.0374134367196027,-0.013666064986516,-0.0295203652378156,-0.0108603535150766,0.0177646150358924
"Raw2",0.00191072064583917,0.000888132727662473,-0.0131322497957221,-0.0516311100964167,0.0492865084099909,-0.0964954197882878,0.0264214448258284
"Raw3",-0.0882203616202252,-0.0173277678300449,0.00937535159112575,0.0417515404527779,-0.0825558444790193,-0.00227645477080612,-0.0853624693533701
"Raw4",0.0755426435847251,-0.008015580964788,-0.0317766512308236,0.0263541178311348,0.0679289539988206,-0.00548024777160234,0.0646506054062858
"Raw5",-0.0638637093590663,-0.0550464130701929,-0.00736087898685418,-0.000519972128615724,0.00616636445614842,-0.0390519377096508,0.0160040340146319
"Raw6",0.10827315614598,0.0292898703127612,0.0355813674748366,0.0424147882335355,0.0777206261679835,0.0115303273027837,0.0833462361897084
"Raw7",0.0210591485415667,-0.0871864310509212,-0.00530271639351389,0.0660003528317991,0.00362558695380503,0.0103453177320438,0.00277843603433221
"Raw8",-0.0506263487462818,0.0344201883969055,0.120451786520135,0.0285181617534246,-0.0852449685781952,0.102649312682376,-0.000859434243264257
"Raw9",-0.044865218422077,0.0045433201860627,0.025430404175411,-0.00035971415661154,-0.0717837697564393,0.0117990598578484,-0.0825579798370054
"Raw10",-0.00816183999689525,0.126690254038423,-0.0409175790871844,0.0229291098406342,0.00861574973052105,0.00149850878671884,-0.0318953201004395
"Raw11",-0.0523868610005951,-0.0285612780434407,-0.0202208308475961,0.000590013608601441,0.0338556662500324,-0.0357138283781427,-0.0214070423766842
"Raw12",-0.0408905233041555,-0.00902565786845556,-0.0357587570557672,0.0177650559934771,-0.0357977494304449,0.0516367583831978,0.0292998005055164
"Raw13",-0.113862500064786,0.0811347661829248,0.00200827770987257,0.00457768967923745,-0.078046043140044,-0.040051879226849,-0.162755089095316
"Raw14",-0.015721047037257,0.0616595921618468,-0.039684454335578,-0.0649091425199133,-0.0429786479261797,0.0455661424827426,-0.0152006768755417
"Raw15",-0.0175744482805073,-0.0466671323432651,-0.0698887122225915,0.113386269336248,-0.00112969508291801,0.00479652067020591,-0.0814585616050834
"Raw16",-0.0343695104252935,0.00360527918360826,-0.0422516090213461,0.00188039728113818,-0.0409411692423539,0.00937078844157836,-0.0481581723985491
"Raw17",-0.022368186241939,0.0335479121014579,0.0304075821495513,-0.0449398004949727,0.0552539848771966,-0.103155415366696,-0.0434047239796404
"Raw18",-0.00676908220601056,0.0273067294964318,0.0473235829917406,-0.0949116312506575,0.000179323011108057,-0.0287868947053325,-0.0145999027224098
"Raw19",0.0258772417943893,0.0193489737512207,-0.000733648064607216,0.0762569363980861,0.0131502205166766,-0.00442292017665092,-0.00606478942190429
"Raw20",-0.0612668982913885,-0.00423885081076565,-0.0743499786307922,0.0474380514125683,-0.0125141353971959,-0.00157053647827812,-0.0243835069724646
"Raw21",0.0208877347766532,0.060991698694726,0.0538380191854287,0.00783547313398199,0.0115198708542572,0.00337915405970379,0.0197142670175644
"Raw22",0.0109531048404659,0.0509814537728233,-0.0148959523666557,0.0405033074113384,0.0112264577595622,0.0183024039639629,0.0279993656229293
"Raw23",0.0620876292506083,-0.0296193176283989,-0.00664359917237483,0.0146630685689908,0.0255894744902296,0.0434636050271948,0.0757697693465242
"Raw24",0.0279753443742749,-0.0360334641706868,-0.0197510356942672,-0.0101187789487904,-0.0421321925401456,0.0985152866198602,0.0275835828777035
